mode,colonne_excel,section,sous_section,code_pydal,type
aoo,BZ,Conformité du contenu du marché,Observations,conformite_contenu_marche_observations,text
aoo,CA,Signature du marché par l’attributaire,Constat,signature_marche_attributaire_constat,boolean
aoo,CB,Signature du marché par l’attributaire,Date de signature,signature_marche_attributaire_date_signature,date
aoo,CC,Signature du marché par l’attributaire,Observations,signature_marche_attributaire_observations,text
aoo,CD,Signature du marché par l’Autorité Contractante,Constat,signature_marche_autorite_contractante_constat,boolean
aoo,CE,Signature du marché par l’Autorité Contractante,Date de signature,signature_marche_autorite_contractante_date_signature,date
aoo,CF,Signature du marché par l’Autorité Contractante,Observations,signature_marche_autorite_contractante_observations,text
aoo,CG,Signature par l’autorité compétente,Constat,signature_autorite_competente_constat,boolean
aoo,CH,Signature par l’autorité compétente,Observations,signature_autorite_competente_observations,text
aoo,CI,Numérotation du marché,Constat,numerotation_marche_constat,boolean
aoo,CJ,Numérotation du marché,Numéro du marché,numerotation_marche,string
aoo,CK,Numérotation du marché,Observations,numerotation_marche_observation,text
aoo,CL,Montant du marché,Montant,montant_marche,double
aoo,CM,Ecart entre montant estimatif et montant attribué,Montant,ecart_entre_montant_estimatif,double
aoo,CN,Situation d'exécution de la ligne budgetaire après passation,Montant disponible,situation_execution_ligne_budgetaire_montant_disponible,double
aoo,CO,Examen préalable à l'approbation,Constat,exam_prealable_approb_constat,boolean
aoo,CP,Examen préalable à l'approbation,Date de soumission du projet de marché à la DGMP,exam_prealable_approb_date_soumission,date
aoo,CQ,Examen préalable à l'approbation,Date de vaidation du projet de marché par la DGMP,exam_prealable_approb_date_validation,date
aoo,CR,Examen préalable à l'approbation,Observations,exam_prealable_approb_observation,text
aoo,CS,Approbation du marché,Constat,approbation_marche_constat,boolean
aoo,CT,Approbation du marché,Date d'approbation,approbation_marche_date,date
aoo,CU,Approbation du marché,Observations,approbation_marche_observation,text
aoo,CV,Autorité approbatrice ou organe approbateur compétent,Constat,organe_approbateur_constat,boolean
aoo,CW,Autorité approbatrice ou organe approbateur compétent,Observations,organe_approbateur_observation,text
aoo,CX,Notification de l’approbation du marché au titulaire,Constat,notif_approbation_titulaire_constat,boolean
aoo,CY,Notification de l’approbation du marché au titulaire,Date de reception par le titulaire,notif_approbation_titulaire_date,date
aoo,CZ,Notification de l’approbation du marché au titulaire,Observations,notif_approbation_titulaire_observation,text
aoo,DA,Garantie de bonne exécution,Constat,garantie_bonne_execution_constat,boolean
aoo,DB,Garantie de bonne exécution,Observations,garantie_bonne_execution_observations,text
aoo,DC,Enregistrement du marché,Constat,enregistrement_marche_constat,boolean
aoo,DD,Enregistrement du marché,Date d'enregistrement,enregistrement_marche_date,date
aoo,DE,Enregistrement du marché,Observations,enregistrement_marche_observation,text
aoo,DF,Transmission de 02 exemplaires du contrat à la DGMP,Constat,transmission_02_exemplaires_contrat_constat,boolean
aoo,DG,Transmission de 02 exemplaires du contrat à la DGMP,Observations,transmission_02_exemplaires_contrat_observations,text
aoo,DH,Notification de l’ordre de service de démarrage,Constat,notif_ordre_demarrage_constat,boolean
aoo,DI,Notification de l’ordre de service de démarrage,Date sur l'accusé de reception,notif_ordre_demarrage_date_accuse_recept,date
aoo,DJ,Notification de l’ordre de service de démarrage,Conforme,notif_ordre_demarrage_conforme,boolean
aoo,DK,Notification de l’ordre de service de démarrage,Observations,notif_ordre_demarrage_observation,text
aoo,DL,Existence et exhaustivité de l’archivage des documents,Existence,existence_exhaustivite_existence,boolean
aoo,DM,Existence et exhaustivité de l’archivage des documents,Exhaustivité,existence_exhaustivite_exhaustivite,boolean
aoo,DN,Existence et exhaustivité de l’archivage des documents,Observations,existence_exhaustivite_observation,text
aoo,DO,Temps total pour la conduite de l’opération,Nombre de jours,temps_total_operation_nb_jours,integer
aoo,DP,Temps total pour la conduite de l’opération,Observations,temps_total_operation_observation,text
